image_path,label
data\processed\toyota\images113.jpg,6
data\processed\opel\images128.jpg,4
data\processed\toyota\images9.jpg,6
data\processed\opel\images87.jpg,4
data\processed\hyundai\images69.jpg,0
data\processed\lexus\images272.jpg,1
data\processed\mazda\Reuters-Mazda-automotriz.jpg,2
data\processed\opel\images259.jpg,4
data\processed\hyundai\images141.jpg,0
data\processed\mercedes\images161.jpg,3
data\processed\lexus\images10.jpg,1
data\processed\hyundai\images103.jpg,0
data\processed\lexus\images244.jpg,1
data\processed\toyota\images150.jpg,6
data\processed\mazda\Mazda-schitaet-nerentabel60ny60m-svoe-uchastie-v-Parizhskom-avtosalone.jpg,2
data\processed\toyota\images213.jpg,6
data\processed\toyota\thumb2-toyota-wooden-logo-4k-wooden-backgrounds-cars-brands-toyota-logo.jpg,6
data\processed\mazda\file1.php.jpg,2
data\processed\opel\images306.jpg,4
data\processed\volkswagen\images335.jpg,7
data\processed\lexus\11195329773618.jpg,1
data\processed\mercedes\images207.jpg,3
data\processed\hyundai\images317.jpg,0
data\processed\opel\images83.jpg,4
data\processed\lexus\images208.jpg,1
data\processed\skoda\images132.jpg,5
data\processed\lexus\000003.jpg,1
data\processed\mercedes\images10.jpg,3
data\processed\mercedes\085_td_3_2.jpg,3
data\processed\volkswagen\a33.jpg,7
data\processed\opel\images116.jpg,4
data\processed\mercedes\images367.jpg,3
data\processed\opel\images419.jpg,4
data\processed\lexus\images150.jpg,1
data\processed\lexus\images120.jpg,1
data\processed\hyundai\images171.jpg,0
data\processed\toyota\a16.jpg,6
data\processed\mercedes\images55.jpg,3
data\processed\volkswagen\vw19.jpg,7
data\processed\skoda\1_org_zoom1.jpg,5
data\processed\hyundai\images13.jpg,0
data\processed\opel\images143.jpg,4
data\processed\mazda\mazlkjhgftyuioda2.jpg,2
data\processed\volkswagen\vww.jpg,7
data\processed\opel\images109.jpg,4
data\processed\hyundai\images26.jpg,0
data\processed\volkswagen\images263.jpg,7
data\processed\toyota\images302.jpg,6
data\processed\mazda\DwAAAgLaWeA-960.jpg,2
data\processed\opel\images232.jpg,4
data\processed\mercedes\images52.jpg,3
data\processed\opel\images326.jpg,4
data\processed\lexus\images128.jpg,1
data\processed\opel\images223.jpg,4
data\processed\volkswagen\vw1122ee.jpg,7
data\processed\skoda\images456.jpg,5
data\processed\volkswagen\0dyrtnsy-1-627x425.jpg,7
data\processed\volkswagen\vwevw.jpg,7
data\processed\toyota\images237.jpg,6
data\processed\toyota\images334.jpg,6
data\processed\mercedes\images6.jpg,3
data\processed\opel\images160.jpg,4
data\processed\mercedes\images294.jpg,3
data\processed\opel\images381.jpg,4
data\processed\volkswagen\basliksiz-1-Jf3Q_cover.jpg,7
data\processed\mercedes\images20.jpg,3
data\processed\hyundai\images442.jpg,0
data\processed\volkswagen\images186.jpg,7
data\processed\mercedes\mercedes-benz-logo-nakC4B1C59F-arma-patches-yama-etiket-embroidery.jpg,3
data\processed\lexus\a14.jpg,1
data\processed\opel\images178.jpg,4
data\processed\skoda\skoda-logo-01.jpg,5
data\processed\opel\opel.jpg,4
data\processed\mazda\logo-thuong-hieu-xe-hoi-5.jpg,2
data\processed\mazda\4b3ad0052e06940fb8f346f6659c754a-768x536.jpg,2
data\processed\lexus\images39.jpg,1
data\processed\skoda\images28.jpg,5
data\processed\skoda\images38.jpg,5
data\processed\lexus\images217.jpg,1
data\processed\mercedes\1_org_zoom1.jpg,3
data\processed\mercedes\images353.jpg,3
data\processed\mazda\s-l10001.jpg,2
data\processed\mercedes\images198.jpg,3
data\processed\mazda\Mazda_wallpapers_455.jpg,2
data\processed\opel\images185.jpg,4
data\processed\lexus\images54.jpg,1
data\processed\toyota\images156.jpg,6
data\processed\toyota\images89.jpg,6
data\processed\skoda\images239.jpg,5
data\processed\skoda\images358.jpg,5
data\processed\volkswagen\2746-01-01-C1959_VW_Volkswagen_Logo.jpg,7
data\processed\mercedes\mrc10.jpg,3
data\processed\skoda\a5.jpg,5
data\processed\skoda\images412.jpg,5
data\processed\skoda\48394-skoda_standard_simple_black.jpg,5
data\processed\mercedes\images270.jpg,3
data\processed\skoda\images164.jpg,5
data\processed\skoda\images394.jpg,5
data\processed\hyundai\images467.jpg,0
data\processed\skoda\1_org_zoom2.jpg,5
data\processed\lexus\a15.jpg,1
data\processed\volkswagen\a26.jpg,7
data\processed\skoda\images352.jpg,5
data\processed\volkswagen\images183.jpg,7
data\processed\hyundai\images448.jpg,0
data\processed\mercedes\images150.jpg,3
data\processed\lexus\images163.jpg,1
data\processed\mazda\Mazda-3-dipimpin-mobil-Decal-Logo-ekor-cahaya-Badge-lambang-stiker-lampu-Cahaya-biru.jpg_640x640.jpg,2
data\processed\mazda\r-Emblem-Badge-Logo-Mazda-1pcs-Black-Red-White-Car-Decal-Sticker.jpg_120x120.jpg,2
data\processed\lexus\a16.jpg,1
data\processed\mercedes\11211588239410.jpg,3
data\processed\mazda\photo-thumb-6092.jpg,2
data\processed\hyundai\images393.jpg,0
data\processed\skoda\images7.jpg,5
data\processed\opel\images127.jpg,4
data\processed\volkswagen\images185.jpg,7
data\processed\volkswagen\images192.jpg,7
data\processed\volkswagen\images360.jpg,7
data\processed\mazda\img56397178.jpg,2
data\processed\mazda\5b80545s-960.jpg,2
data\processed\mercedes\images149.jpg,3
data\processed\opel\images179.jpg,4
data\processed\mercedes\Mercedes_logo-2-660x330.jpg,3
data\processed\toyota\images26.jpg,6
data\processed\mercedes\images258.jpg,3
data\processed\skoda\s9l4p13713236769.jpg,5
data\processed\volkswagen\images165.jpg,7
data\processed\volkswagen\images327.jpg,7
data\processed\lexus\images276.jpg,1
data\processed\mazda\2019-Mazda-3-18-980x653.jpg,2
data\processed\hyundai\images75.jpg,0
data\processed\lexus\ta-car-luxury-vehicle-cars-logo-brands-5ad3c055449d87.3701710715238267732811.jpg,1
data\processed\toyota\images299.jpg,6
data\processed\hyundai\images412.jpg,0
data\processed\toyota\images116.jpg,6
data\processed\mazda\TASS_39852168.jpg,2
data\processed\lexus\a3aac448d706be338e515410cb212144.jpg,1
data\processed\mercedes\images259.jpg,3
data\processed\hyundai\images353.jpg,0
data\processed\lexus\images225.jpg,1
data\processed\opel\images240.jpg,4
data\processed\skoda\a4.jpg,5
data\processed\lexus\images76.jpg,1
data\processed\hyundai\image-260nw-601450457.jpg,0
data\processed\skoda\images102.jpg,5
data\processed\hyundai\images230.jpg,0
data\processed\volkswagen\images14.jpg,7
data\processed\volkswagen\vw21e.jpg,7
data\processed\mercedes\images169.jpg,3
data\processed\skoda\images72.jpg,5
data\processed\volkswagen\a31.jpg,7
data\processed\hyundai\images357.jpg,0
data\processed\volkswagen\images277.jpg,7
data\processed\skoda\fpostersmallwall_textureproduct750x1000.jpg,5
data\processed\toyota\images361.jpg,6
data\processed\hyundai\images421.jpg,0
data\processed\hyundai\9919115362354.jpg,0
data\processed\mercedes\images268.jpg,3
data\processed\mazda\c1_15038d2a.jpg,2
data\processed\skoda\images408.jpg,5
data\processed\skoda\images120.jpg,5
data\processed\hyundai\images445.jpg,0
data\processed\mazda\000-3d-model-Mazda2BLogo.jpg,2
data\processed\skoda\images170.jpg,5
data\processed\toyota\a20.jpg,6
data\processed\volkswagen\images42.jpg,7
data\processed\mazda\1-1161503.jpg,2
data\processed\opel\images131.jpg,4
data\processed\opel\images332.jpg,4
data\processed\mercedes\images24.jpg,3
data\processed\mercedes\images337.jpg,3
data\processed\volkswagen\vwe1aa.jpg,7
data\processed\toyota\images222.jpg,6
data\processed\hyundai\images126.jpg,0
data\processed\skoda\images178.jpg,5
data\processed\mercedes\images68.jpg,3
data\processed\volkswagen\a6.jpg,7
data\processed\hyundai\images11.jpg,0
data\processed\mazda\mazdalogo1.jpg,2
data\processed\lexus\wp4045541.jpg,1
data\processed\skoda\images161.jpg,5
data\processed\hyundai\images333.jpg,0
data\processed\opel\images217.jpg,4
data\processed\lexus\images207.jpg,1
data\processed\mazda\152744-mazda-issues-urgent-recall-for-three-popular-car-models.jpg,2
data\processed\lexus\512BqAhR4EAL.jpg,1
data\processed\toyota\a18.jpg,6
data\processed\toyota\images246.jpg,6
data\processed\skoda\images392.jpg,5
data\processed\toyota\images61.jpg,6
data\processed\skoda\images353.jpg,5
data\processed\mazda\thumb_1.jpg,2
data\processed\toyota\a7.jpg,6
data\processed\lexus\images127.jpg,1
data\processed\mercedes\images275.jpg,3
data\processed\mazda\102315_market_report.jpg,2
data\processed\skoda\images217.jpg,5
data\processed\volkswagen\images5.jpg,7
data\processed\opel\images316.jpg,4
data\processed\hyundai\images193.jpg,0
data\processed\lexus\lexus-logo-on-a-car-2F8M1H8.jpg,1
data\processed\toyota\images133.jpg,6
data\processed\hyundai\images360.jpg,0
data\processed\mercedes\images201.jpg,3
data\processed\toyota\0_org_zoom1.jpg,6
data\processed\mercedes\images370.jpg,3
data\processed\skoda\images426.jpg,5
data\processed\mazda\mazda7.jpg,2
data\processed\volkswagen\images143.jpg,7
data\processed\skoda\skoda-logo-2-color-label-sticker.jpg,5
data\processed\lexus\images117.jpg,1
data\processed\toyota\images119.jpg,6
data\processed\hyundai\images12.jpg,0
data\processed\toyota\toyota-logo-1.jpg,6
data\processed\volkswagen\images339.jpg,7
data\processed\opel\images392.jpg,4
data\processed\volkswagen\a15.jpg,7
data\processed\skoda\images43.jpg,5
data\processed\volkswagen\images196.jpg,7
data\processed\hyundai\images455.jpg,0
data\processed\toyota\images66.jpg,6
data\processed\toyota\images186.jpg,6
data\processed\mazda\00000010828.jpg,2
data\processed\volkswagen\5C6853601.jpg,7
data\processed\mazda\images13.jpg,2
data\processed\opel\images195.jpg,4
data\processed\lexus\images242.jpg,1
data\processed\skoda\images218.jpg,5
data\processed\hyundai\kharkiv-ukraine-july-hyundai-logo-sign-auto-dealer-trade-service-center-152429529.jpg,0
data\processed\opel\images280.jpg,4
data\processed\mazda\f5ba4d0e4b569f1f8bca5f108e1e9fb9.jpg,2
data\processed\volkswagen\images9.jpg,7
data\processed\hyundai\images65.jpg,0
data\processed\lexus\images100.jpg,1
data\processed\skoda\images419.jpg,5
data\processed\mercedes\22619160a99ce5865e3661d48404f92f.jpg,3
data\processed\lexus\images19.jpg,1
data\processed\opel\6f5480cs-960.jpg,4
data\processed\skoda\images282.jpg,5
data\processed\mazda\mazda16.jpg,2
data\processed\toyota\toyota-yeni-kurumsal-logo.jpg,6
data\processed\mercedes\images200.jpg,3
data\processed\hyundai\images83.jpg,0
data\processed\hyundai\images415.jpg,0
data\processed\mazda\mazda-logo-wallpaper-12.jpg,2
data\processed\volkswagen\images270.jpg,7
data\processed\volkswagen\9543836467250.jpg,7
data\processed\toyota\images267.jpg,6
data\processed\mercedes\r-logo-gray-carbon-fiber-background-mercedes-benz-metal-emblem-mercedes-benz.jpg,3
data\processed\mercedes\images32.jpg,3
data\processed\toyota\images101.jpg,6
data\processed\toyota\images126.jpg,6
data\processed\toyota\images215.jpg,6
data\processed\mercedes\images284.jpg,3
data\processed\opel\images228.jpg,4
data\processed\opel\images341.jpg,4
data\processed\mazda\mazda-logo-saten-arac-yastigi-5-renk-ve-ahsap-anahtarlik__0685368173413815.jpg,2
data\processed\volkswagen\images333.jpg,7
data\processed\lexus\images296.jpg,1
data\processed\hyundai\images465.jpg,0
data\processed\hyundai\images294.jpg,0
data\processed\volkswagen\5ad92633ae78491fe8546ef3.jpg,7
data\processed\toyota\a13.jpg,6
data\processed\mercedes\images89.jpg,3
data\processed\mercedes\mercedes-benz-social-distancing-logo.jpg,3
data\processed\opel\images418.jpg,4
data\processed\skoda\images134.jpg,5
data\processed\volkswagen\images355.jpg,7
data\processed\lexus\images13.jpg,1
data\processed\lexus\images199.jpg,1
data\processed\mercedes\images358.jpg,3
data\processed\volkswagen\2520829_575e94f2265d99c47765e61f08131a8b.jpg,7
data\processed\lexus\images23.jpg,1
data\processed\opel\images254.jpg,4
data\processed\mazda\mazda1.jpg,2
data\processed\mercedes\images334.jpg,3
data\processed\opel\0001.jpg,4
data\processed\skoda\images32.jpg,5
data\processed\skoda\images50.jpg,5
data\processed\toyota\images194.jpg,6
data\processed\mazda\1qAAAgBa3eA-960.jpg,2
data\processed\volkswagen\images45.jpg,7
data\processed\skoda\images140.jpg,5
data\processed\volkswagen\images193.jpg,7
data\processed\opel\images350.jpg,4
data\processed\mazda\0000_51_852.jpg,2
data\processed\mazda\3.jpg,2
data\processed\mercedes\142727974_max.jpg,3
data\processed\hyundai\images277.jpg,0
data\processed\toyota\images129.jpg,6
data\processed\opel\aachen-germany-february-2017-opel-260nw-592216823.jpg,4
data\processed\volkswagen\images234.jpg,7
data\processed\skoda\images111.jpg,5
data\processed\mercedes\images205.jpg,3
data\processed\mazda\mazda6.jpg,2
data\processed\toyota\images342.jpg,6
data\processed\hyundai\5e8c825355427e1a70d155fd.jpg,0
data\processed\opel\images494.jpg,4
data\processed\toyota\images107.jpg,6
data\processed\volkswagen\images309.jpg,7
data\processed\mercedes\h9bbbv47-900.jpg,3
data\processed\toyota\images220.jpg,6
data\processed\volkswagen\images35.jpg,7
data\processed\hyundai\NTNP_logo_HORIZ_Rev.jpg,0
data\processed\volkswagen\images295.jpg,7
data\processed\toyota\images308.jpg,6
data\processed\toyota\images109.jpg,6
data\processed\volkswagen\vew.jpg,7
data\processed\skoda\792c9e9ace8c41f2ad69a0031352f90f.jpg,5
data\processed\toyota\1_org_zoom.jpg,6
data\processed\opel\images312.jpg,4
data\processed\toyota\images297.jpg,6
data\processed\volkswagen\images366.jpg,7
data\processed\skoda\4QAAAgFwwuA-960.jpg,5
data\processed\mercedes\images349.jpg,3
data\processed\volkswagen\a11.jpg,7
data\processed\toyota\images283.jpg,6
data\processed\opel\images461.jpg,4
data\processed\opel\images283.jpg,4
data\processed\hyundai\images422.jpg,0
data\processed\lexus\images25.jpg,1
data\processed\toyota\images357.jpg,6
data\processed\mazda\53f7746s-960.jpg,2
data\processed\mercedes\images87.jpg,3
data\processed\skoda\images115.jpg,5
data\processed\hyundai\images19.jpg,0
data\processed\opel\images242.jpg,4
data\processed\skoda\skoda-logo-nakC4B1C59F-arma-peC3A7-brove-yama-patches-etiket-1-e1582121405411.jpg,5
data\processed\skoda\images213.jpg,5
data\processed\hyundai\images374.jpg,0
data\processed\hyundai\images197.jpg,0
data\processed\skoda\images48.jpg,5
data\processed\skoda\images31.jpg,5
data\processed\mazda\Mazda-symbol.jpg,2
data\processed\mazda\mazda-wallpaper-2-high-resolution-car-wallpaper.jpg,2
data\processed\mazda\auto-Kiev-1148200126_1.jpg,2
data\processed\hyundai\images418.jpg,0
data\processed\toyota\images221.jpg,6
data\processed\skoda\images337.jpg,5
data\processed\toyota\images219.jpg,6
data\processed\mercedes\images39.jpg,3
data\processed\skoda\images79.jpg,5
data\processed\skoda\images293.jpg,5
data\processed\mercedes\images36.jpg,3
data\processed\mercedes\images368.jpg,3
data\processed\mercedes\images134.jpg,3
data\processed\mazda\car-mazda-logo-photo-l.jpg,2
data\processed\lexus\a34.jpg,1
data\processed\mercedes\images145.jpg,3
data\processed\skoda\skoda-logo_0282018e0_386.jpg,5
data\processed\volkswagen\vw8.jpg,7
data\processed\opel\images409.jpg,4
data\processed\skoda\images98.jpg,5
data\processed\mercedes\images220.jpg,3
data\processed\opel\a13.jpg,4
data\processed\opel\images169.jpg,4
data\processed\opel\images214.jpg,4
data\processed\volkswagen\images276.jpg,7
data\processed\toyota\images333.jpg,6
data\processed\mercedes\images193.jpg,3
data\processed\lexus\images31.jpg,1
data\processed\volkswagen\images3.jpg,7
data\processed\mazda\4456f2as-200.jpg,2
data\processed\mercedes\images2.jpg,3
data\processed\skoda\10630283755570.jpg,5
data\processed\hyundai\images224.jpg,0
data\processed\skoda\images465.jpg,5
data\processed\opel\images485.jpg,4
data\processed\toyota\images373.jpg,6
data\processed\toyota\images273.jpg,6
data\processed\mazda\24087_478_1.jpg,2
data\processed\lexus\images251.jpg,1
data\processed\opel\a12.jpg,4
data\processed\lexus\images233.jpg,1
data\processed\toyota\images336.jpg,6
data\processed\mazda\novyy-stil-moda-iz-svetodiodov-znak-sveta-dlya-novoy-mazda-6.jpg,2
data\processed\mazda\asr-mazda-logo-saten-arac-yastigi-kirmizi-ve-ahsap-anahtarlik_1_5711369.jpg,2
data\processed\skoda\images444.jpg,5
data\processed\skoda\images370.jpg,5
data\processed\mazda\rBgICV3FBDeAP38CAAAsOzSFp3w408.jpg,2
data\processed\volkswagen\vwbayi.jpg,7
data\processed\mercedes\images88.jpg,3
data\processed\hyundai\images237.jpg,0
data\processed\lexus\images106.jpg,1
data\processed\volkswagen\vw-ticari-logo.jpg,7
data\processed\skoda\images64.jpg,5
data\processed\mercedes\depositphotos_160838810-stock-photo-an-image-of-a-mercedes.jpg,3
data\processed\hyundai\images472.jpg,0
data\processed\toyota\images326.jpg,6
data\processed\volkswagen\images315.jpg,7
data\processed\volkswagen\vwe1122.jpg,7
data\processed\mercedes\images251.jpg,3
data\processed\volkswagen\images51.jpg,7
data\processed\mazda\thumb1500x1500x1x0604be8e39cab1737b19c3cf3fa5f2a9-2077.jpg,2
data\processed\lexus\a23.jpg,1
data\processed\toyota\images163.jpg,6
data\processed\hyundai\images417.jpg,0
data\processed\opel\images446.jpg,4
data\processed\mercedes\mrc8.jpg,3
data\processed\lexus\aa2.jpg,1
data\processed\mazda\5b456a12013a7d1b3a762dc8f72b3211.jpg,2
data\processed\mazda\mazda-car-ford-motor-company-logo-clip-art-mazda-thumb.jpg,2
data\processed\mercedes\images58.jpg,3
data\processed\skoda\images36.jpg,5
data\processed\mercedes\images22.jpg,3
data\processed\skoda\images234.jpg,5
data\processed\mazda\b6c433u-960.jpg,2
data\processed\opel\images165.jpg,4
data\processed\hyundai\images403.jpg,0
data\processed\opel\images235.jpg,4
data\processed\mazda\images238.jpg,2
data\processed\mazda\Mazda-logo-wallpaper-001.jpg,2
data\processed\volkswagen\images250.jpg,7
data\processed\toyota\images315.jpg,6
data\processed\mazda\Mazda2Blogo2BCHANGED.jpg,2
data\processed\skoda\9543831519282.jpg,5
data\processed\hyundai\images165.jpg,0
data\processed\opel\images297.jpg,4
data\processed\opel\images376.jpg,4
data\processed\toyota\a4.jpg,6
data\processed\mercedes\images78.jpg,3
data\processed\hyundai\images185.jpg,0
data\processed\lexus\images284.jpg,1
data\processed\volkswagen\images98.jpg,7
data\processed\skoda\images122.jpg,5
data\processed\toyota\images33.jpg,6
data\processed\mazda\mzi.mnivtodo.jpg,2
data\processed\toyota\images132.jpg,6
data\processed\lexus\lexuslogo-300x212.jpg,1
data\processed\hyundai\images391.jpg,0
data\processed\mercedes\images222.jpg,3
data\processed\opel\opel-kapi-alti-logo-led-hayalet-logo-iki-adet_309770301.jpg,4
data\processed\skoda\a6.jpg,5
data\processed\hyundai\images426.jpg,0
data\processed\volkswagen\images266.jpg,7
data\processed\volkswagen\images21.jpg,7
data\processed\opel\images103.jpg,4
data\processed\skoda\images425.jpg,5
data\processed\skoda\images494.jpg,5
data\processed\skoda\images220.jpg,5
data\processed\lexus\images133.jpg,1
data\processed\hyundai\images419.jpg,0
data\processed\volkswagen\images137.jpg,7
data\processed\skoda\images166.jpg,5
data\processed\mazda\Mazda-logo8.jpg,2
data\processed\opel\11079521435698.jpg,4
data\processed\toyota\images18.jpg,6
data\processed\hyundai\images376.jpg,0
data\processed\mercedes\81wh9zb2ccn31.jpg,3
data\processed\mercedes\images60.jpg,3
data\processed\toyota\images240.jpg,6
data\processed\volkswagen\a34.jpg,7
data\processed\volkswagen\images7.jpg,7
data\processed\hyundai\images202.jpg,0
data\processed\toyota\images330.jpg,6
data\processed\volkswagen\images216.jpg,7
data\processed\mazda\3823c82s-960.jpg,2
data\processed\volkswagen\images274.jpg,7
data\processed\volkswagen\vwee2.jpg,7
data\processed\volkswagen\images207.jpg,7
data\processed\toyota\images155.jpg,6
data\processed\opel\images410.jpg,4
data\processed\lexus\images44.jpg,1
data\processed\opel\untitled-1_168.jpg,4
data\processed\opel\images105.jpg,4
data\processed\mercedes\ahsap-tablo-mercedes-benz-logo-karanlik-mod-12673-1-7a34c5a96aeb465c80b38a22d18c54a5.jpg,3
data\processed\toyota\mqdefault.jpg,6
data\processed\skoda\4941092.jpg,5
data\processed\opel\images187.jpg,4
data\processed\lexus\images250.jpg,1
data\processed\lexus\images232.jpg,1
data\processed\toyota\images115.jpg,6
data\processed\mazda\mazda-bw-1500x1500.jpg,2
data\processed\toyota\images236.jpg,6
data\processed\lexus\images41.jpg,1
data\processed\opel\images141.jpg,4
data\processed\skoda\images2.jpg,5
data\processed\hyundai\images136.jpg,0
data\processed\volkswagen\images267.jpg,7
data\processed\mercedes\images80.jpg,3
data\processed\mazda\images10.jpg,2
data\processed\skoda\1be3c66s-120.jpg,5
data\processed\mercedes\images363.jpg,3
data\processed\skoda\ee0ab7824e75c7030e87dad485d3186c.jpg,5
data\processed\mazda\14145.jpg,2
data\processed\toyota\images159.jpg,6
data\processed\hyundai\images310.jpg,0
data\processed\volkswagen\vw13.jpg,7
data\processed\mazda\5wAAAgIw3-A-960.jpg,2
data\processed\lexus\maxresdefault.jpg,1
data\processed\mercedes\images286.jpg,3
data\processed\volkswagen\vw66.jpg,7
data\processed\mercedes\images177.jpg,3
data\processed\volkswagen\images354.jpg,7
data\processed\mercedes\images113.jpg,3
data\processed\volkswagen\images246.jpg,7
data\processed\skoda\images116.jpg,5
data\processed\mazda\Mazda_e0b2c1fe270251752bbcc272ac50e991-150x150.jpg,2
data\processed\hyundai\images44.jpg,0
data\processed\toyota\images337.jpg,6
data\processed\toyota\images190.jpg,6
data\processed\volkswagen\a8.jpg,7
data\processed\hyundai\images457.jpg,0
data\processed\mercedes\images155.jpg,3
data\processed\toyota\images275.jpg,6
data\processed\mazda\10609662840.jpg,2
data\processed\opel\opel-logo-baskili-otomatik-mekanizmali-kartlik-kc5172935-1-eb9a98f1db9e49a79f9c45116367ae2a.jpg,4
data\processed\volkswagen\images247.jpg,7
data\processed\hyundai\images274.jpg,0
data\processed\toyota\images247.jpg,6
data\processed\lexus\images129.jpg,1
data\processed\volkswagen\images338.jpg,7
data\processed\skoda\images468.jpg,5
data\processed\toyota\toyota-logo-nakC4B1C59F-arma-patch-iC59Fleme-brove-yama-1-e1582121247523.jpg,6
data\processed\volkswagen\images157.jpg,7
data\processed\mercedes\images130.jpg,3
data\processed\lexus\images287.jpg,1
data\processed\skoda\images143.jpg,5
data\processed\toyota\images285.jpg,6
data\processed\opel\opel-logo-HP0RBY.jpg,4
data\processed\lexus\31KIwCwBqtL._AC_SS450_.jpg,1
data\processed\hyundai\images207.jpg,0
data\processed\mercedes\images342.jpg,3
data\processed\mazda\9e3a406s-960.jpg,2
data\processed\hyundai\images352.jpg,0
data\processed\skoda\images159.jpg,5
data\processed\volkswagen\images262.jpg,7
data\processed\mazda\thumb_mazdal1605.jpg,2
data\processed\skoda\skoda-logo-sticker-01614-1-1586871848.jpg,5
data\processed\mazda\mazda-ruft-allein-in-deutschland-104-.jpg,2
data\processed\volkswagen\vw3eef.jpg,7
data\processed\lexus\images167.jpg,1
data\processed\mercedes\images50.jpg,3
data\processed\lexus\images125.jpg,1
data\processed\toyota\images79.jpg,6
data\processed\skoda\images118.jpg,5
data\processed\lexus\images184.jpg,1
data\processed\toyota\images124.jpg,6
data\processed\toyota\images289.jpg,6
data\processed\volkswagen\vw-3306790_960_720.jpg,7
data\processed\skoda\images127.jpg,5
data\processed\opel\images272.jpg,4
data\processed\hyundai\images188.jpg,0
data\processed\lexus\images226.jpg,1
data\processed\opel\images196.jpg,4
data\processed\opel\images356.jpg,4
data\processed\opel\images351.jpg,4
data\processed\hyundai\2223.jpg,0
data\processed\lexus\images135.jpg,1
data\processed\mazda\Mazda-emblema.jpg,2
